"site","scale","area.Arable and horticulture","area.Broadleaf woodland","area.Coniferous woodland","area.Improved grassland"
"ST7498436174",500,0.0359371442735116,0.0145894656698891,0.64732233722697,0.30215105282963
"ST7516436174",500,0.111103667955182,0.0138581926612285,0.654990677429077,0.220047461954512
"ST7528433234",500,0,0.348507941563626,0.54457522818842,0.106916830247954
"ST7486436114",500,0.0339655704788558,0.0129650564396685,0.667399486713547,0.285669886367929
"ST7492436114",500,0.0567982602036729,0.013290910162834,0.662743816186305,0.267167013447188
"ST7498436114",500,0.0834717800114028,0.0128804463628992,0.654651000737543,0.248996772888155
"ST7600032936",1500,0.0661108562548799,0.230817911810278,0.232468360400742,0.433701977010378
"ST7594132635",1500,0.0491106520586157,0.225795345116032,0.207572231105709,0.485093967135612
"ST7558533053",1500,0.011102215402766,0.244034894025196,0.310457349551453,0.405216289097115
"ST7563133004",1500,0.0139185794123705,0.241244947772208,0.29809988050983,0.417340422289504
"ST7599532629",1500,0.0570547056786311,0.220519349604381,0.195323069233167,0.493821922945293
"ST7611032751",1500,0.0814400056671997,0.222808909779295,0.183182012557766,0.476764979976149
"ST7516133894",1500,0.0300087409584354,0.231231978417662,0.426234121568969,0.29058086057522
"ST7492533597",1500,0.0268023085070368,0.227483775462556,0.385537003331256,0.341548507310287
"ST7455135810",1500,0.0879939051023428,0.0816385950629824,0.300433705478552,0.529933794356123
"ST7460735809",1500,0.0928171645173021,0.0840503831352519,0.311254400466423,0.511878051881023
"ST7546033171",1500,0.0126921197855222,0.235944302379113,0.341036681837802,0.381192259353789
"ST7546733054",1500,0.0126921197855225,0.237997572848627,0.322531204927746,0.39764446579433
"ST7533433668",1500,0.0185438430558396,0.220706147952185,0.427228891379417,0.307235102326956
"ST7546033412",1500,0.0129641738098387,0.229315584877905,0.395392625334468,0.332504545932258
"ST7532436239",1500,0.233975234220458,0.0827562816006844,0.337395764123782,0.345872720055075
"ST7536336131",1500,0.237547644502495,0.0872512758111299,0.347334016669788,0.327867063016588
"ST7491135929",1500,0.143984719085741,0.0961439377947805,0.338614401664593,0.421256941454885
"ST7496835930",1500,0.153979392757126,0.0968138499425178,0.345435276223605,0.403771481076751
"ST7533436050",1500,0.227082442674419,0.0921451071010847,0.354771935435804,0.326000514788693
"ST7527336046",1500,0.214339805965389,0.093385175976443,0.352562160025685,0.339712858032483
"ST7576432634",1500,0.0248012493344635,0.233271221663546,0.24885191195564,0.464232200274921
"ST7504433474",1500,0.0268023085070375,0.222312942796743,0.382290533693724,0.34996580961363
"ST7504433714",1500,0.0268023085070373,0.217249442899926,0.410715678598585,0.326604164605586
"ST7498433894",1500,0.0310133960662668,0.229434175117619,0.412418767225641,0.308297946441208
"ST7492433834",1500,0.0280219639441524,0.229904319894272,0.40196063334474,0.321484677427971
"ST7504436114",1500,0.180734320432498,0.0952580594772463,0.324978356716921,0.399029263373334
"ST7516436114",1500,0.200220580277521,0.0921197137781699,0.33638838928695,0.371271316657359
"ST7486436294",1500,0.151206736520987,0.084716907078055,0.293485674302,0.468700051755069
"ST7492436294",1500,0.16219163992254,0.0857885084851192,0.300258418014418,0.450575662467217
"ST7516433354",1500,0.02401976339734,0.219789246797831,0.376024676259008,0.359302232242671
"ST7498436294",1500,0.17316762315591,0.0859324253548163,0.30666597687982,0.433766265501947
"ST7480436234",1500,0.139122120149038,0.0858482694842151,0.289321650232063,0.484971578457188
"ST7534433354",1500,0.0158441194302304,0.223931563129234,0.383203932403852,0.350555444117124
"ST7486436234",1500,0.150297791618173,0.0880810480944191,0.295976526631216,0.465384551542332
"ST7522436234",1500,0.215012378918089,0.0855395811113315,0.3305425756364,0.368905464334179
"ST7492436174",1500,0.160276385521722,0.0919191285672722,0.306829791686379,0.440974694224627
"ST7528433474",1500,0.0197780594286458,0.215164363640542,0.403219792792291,0.338023150766612
"ST7534433474",1500,0.0169405055364449,0.21746059694031,0.406652564523194,0.333120540248902
"ST7546433474",1500,0.0130092363449622,0.228387537997445,0.406485782258965,0.320934628269177
"ST7540433534",1500,0.0148397324449924,0.222100459692818,0.414434116368567,0.319301064594563
"ST7522433594",1500,0.0235100515604197,0.212222048805056,0.415313166127436,0.32807296615497
"ST7516433774",1500,0.0261388063968706,0.216523445446866,0.428714853356171,0.307234107720008
"ST7588432274",1500,0.0306535359590063,0.207265360579627,0.205513928211455,0.536294963529175
"ST7522433714",1500,0.0238735325905162,0.2173543157655,0.426178971816152,0.310788760315657
"ST7576432394",1500,0.0210565477542167,0.224098434471739,0.232498759709051,0.499225641755145
"ST7636434494",1500,0.213129982322089,0.165917091534399,0.251419815427126,0.326256384296684
"ST7636434434",1500,0.200949329693641,0.169357394854951,0.256010944207096,0.327770854820389
"ST7642434434",1500,0.206999487696008,0.168027679718421,0.239411046765623,0.338421032245476
"ST7642434374",1500,0.197747664121537,0.170871836782051,0.243694451765406,0.338920970081812
"ST7570432454",1500,0.0156946088927639,0.235094364781207,0.245994140978382,0.481201581029803
"ST7648434374",1500,0.205786403547238,0.16972519057222,0.225772593823021,0.348963224343681
"ST7648434314",1500,0.200013740802525,0.173261373031616,0.22858783833686,0.348652908102686
"ST7564434734",1500,0.183973354653073,0.146771246165834,0.418153941556084,0.229157159145295
"ST7612434674",1500,0.255248655988205,0.145676477657811,0.287458094271886,0.273772764151606
"ST7618434674",1500,0.256598370161558,0.146996690644086,0.27512163175413,0.282396229180139
"ST7618434614",1500,0.240875595650868,0.154629671871959,0.279150985320192,0.287276583355381
"ST7516434554",1500,0.0710808974669072,0.1903167333231,0.440222342803339,0.27643572792694
"ST7522434554",1500,0.0762143000108477,0.188782578510251,0.439551190593742,0.273507632405445
"ST7624434554",1500,0.223240954298173,0.160091500153914,0.274230054865404,0.303546850754569
"ST7630434494",1500,0.209011279180241,0.165511235266197,0.266664694786437,0.31755002654734
"ST7618432634",1500,0.0914301160170619,0.205690310807743,0.157140133278771,0.51011799223695
"ST7496634827",1500,0.0764768117842812,0.163261451522916,0.464659496704233,0.280212859805607
"ST7546434794",1500,0.154519932339098,0.143793678091257,0.453484408547403,0.226257682542528
