plot,grid_ref,filename,species,probability,actual_date,session_date,day,month,year,time,scientific_name,english_name,group,guild,warnings,classifier_code,manual_check
62,ST7552732701,ST7552732701__0__20210815_211234_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:12:34,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211242_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:12:42,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211248_Barbar.wav,Barbar,0.81,15/08/2021,15/08/2021,15,8,2021,21:12:48,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211252_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:12:52,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211304_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:13:04,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211308_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:13:08,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211318_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:13:18,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211325_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:13:25,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211333_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:13:33,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211339_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:13:39,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211358_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:13:58,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211406_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:14:06,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211414_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:14:14,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211427_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:14:27,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211439_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:14:39,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211444_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:14:44,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211455_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:14:55,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
62,ST7552732701,ST7552732701__0__20210815_211504_Barbar.wav,Barbar,0.99,15/08/2021,15/08/2021,15,8,2021,21:15:04,Barbastella barbastellus,Barbastelle,bat,SRE,,D:/Bat_classifier/Classifier_files/ClassifEspGBR-WST2021-08-06_1.learner,Barbar
